Ticker symbol, Security,SEC filings,Global Industry Classification StandardGICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,Central Index KeyCIK
NyseSymbolMMM,3M3M Company,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MMM&action=getcompany reports,Industrials     ,Industrial Conglomerates     St. Paul, Minnesota   0000066740
NyseSymbolCHD,Church & Dwight,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CHD&action=getcompany reports,Consumer Staples     Household Products      Ewing, New Jersey  2015-12-29  0000313927
NyseSymbolCI,CIGNA Corp.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CI&action=getcompany reports,Health Care     Managed Health Care     Philadelphia, Pennsylvania  1976-06-30  0000701221
NyseSymbolXEC,Cimarex Energy,http://www.sec.gov/cgi-bin/browse-edgar?CIK=XEC&action=getcompany reports,Energy  Oil & Gas Exploration & Production Denver, Colorado   2014-06-21  0001168054
NasdaqSymbolCINF,Cincinnati Financial,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CINF&action=getcompany reports,Financials     Property & Casualty Insurance     Fairfield, Ohio   0000020286
NasdaqSymbolCTAS,Cintas Corporation,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CTAS&action=getcompany reports,Industrials     Diversified Support Services     Mason, Ohio  2001-03-01  0000723254
NasdaqSymbolCSCO,Cisco Systems,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CSCO&action=getcompany reports,Information Technology     Communications Equipment     San Jose, California  1993-12-01  0000858877
NyseSymbolC,Citigroup Inc.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=C&action=getcompany reports,Financials     Diversified Banks     New York, New York  1988-05-31  0000831001
NyseSymbolCFG,Citizens Financial Group,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CFG&action=getcompany reports     Financials Regional Banks  Providence, Rhode Island2016-01-29 0000759944
NasdaqSymbolCTXS,Citrix Systems,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CTXS&action=getcompany reports,Information Technology     Internet Software & Services     Fort Lauderdale, Florida   0000877890
NyseSymbolCLX,The Clorox Company,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CLX&action=getcompany reports,Consumer Staples     Household Products     Oakland, California  1969-03-31  0000021076
NasdaqSymbolCME,CME Group Inc.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CME&action=getcompany reports,Financials     Financial Exchanges & Data     Chicago, Illinois   0001156375
NyseSymbolCMS,CMS Energy,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CMS&action=getcompany reports,Utilities     Multi-Utilities     Jackson, Michigan   0000811156
NyseSymbolCOH,Coach Inc.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=COH&action=getcompany reports,Consumer Discretionary     Apparel, Accessories & Luxury Goods     New York, New York   0001116132
NyseSymbolKO,Coca Cola Company,http://www.sec.gov/cgi-bin/browse-edgar?CIK=KO&action=getcompany reports,Consumer Staples     Soft Drinks     Atlanta, Georgia   0000021344
NasdaqSymbolCTSH,Cognizant Technology Solutions,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CTSH&action=getcompany reports,Information Technology IT Consulting & Other Services Teaneck, New Jersey  2006-11-17  0001058290
NyseSymbolCL,Colgate-Palmolive,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CL&action=getcompany reports,Consumer Staples Household Products, New York, New York   0000021665
NasdaqSymbolCMCSA,Comcast Corp.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CMCSA&action=getcompany reports,Consumer Discretionary Cable & Satellite,Philadelphia, Pennsylvania  2015-09-18  0001166691
NyseSymbolCMA,Comerica Inc.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CMA&action=getcompany reports,Financials Diversified Banks, Dallas, Texas   0000028412
NyseSymbolCAG,ConAgra Foods Inc.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CAG&action=getcompany reports,Consumer Staples Packaged Foods & Meats, Omaha, Nebraska  1983-08-31  0000023217
NyseSymbolCXO,Concho Resources,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CXO&action=getcompany reports,Energy Oil & Gas Exploration & Production  Midland, Texas  2016-02-22  0001358071
NyseSymbolCOP,ConocoPhillips,http://www.sec.gov/cgi-bin/browse-edgar?CIK=COP&action=getcompany reports,Energy Oil & Gas Exploration & Production Houston, Texas   0001163165
NyseSymbolED,Consolidated Edison,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ED&action=getcompany reports,Utilities Electric Utilities, New York, New York   0001047862
NyseSymbolSTZ,Constellation Brands,http://www.sec.gov/cgi-bin/browse-edgar?CIK=STZ&action=getcompany reports,Consumer Staples Distillers & Vintners, Victor, New York  2005-07-05  0000016918
NyseSymbolGLW,Corning Inc.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=GLW&action=getcompany reports,Information Technology Electronic Components, Corning (city), New YorkCorning, New York   0000024741
NasdaqSymbolCOST,Costco Co.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=COST&action=getcompany reports,Consumer Staples Hypermarkets & Super Centers Issaquah, Washington  1993-10-01  0000909832
NyseSymbolCOTY,Coty, Inc,http://www.sec.gov/cgi-bin/browse-edgar?CIK=COTY&action=getcompany reports,Consumer Staples Personal Products New York, NY  2016-10-03  0001024305 
NyseSymbolCCI,Crown Castle International Corp. http://www.sec.gov/cgi-bin/browse-edgar?CIK=CCI&action=getcompany reports,Real Estate Specialized REITs, Houston, Texas  2012-03-14  0001051470
NyseSymbolCSRA,CSRA (IT services company)CSRA Inc.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CSRA&action=getcompany reports,Information Technology  IT Consulting & Other Services,Falls Church, Virginia  2015-12-01  0001646383
NasdaqSymbolCSX,CSX Corp.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CSX&action=getcompany reports,Industrials Railroads, Jacksonville, Florida  1967-09-30  0000277948
NyseSymbolCMI,Cummins Inc.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CMI&action=getcompany reports,Industrials Industrial Machinery, Columbus, Indiana  1965-03-31  0000026172
